danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,chorus_hit,sections,popularity,genre,duration_ms
0.471,0.936,11,-3.354,1,0.0448,0.0783,0.0,0.171,0.45,89.881,4,22.21413,7,1,latin,208186.0
0.781,0.746,8,-2.686,1,0.17,0.364,0.0,0.098,0.786,89.43,4,26.64298,10,1,pop,229800.0
0.328,0.939,2,-1.654,0,0.0423,4.93e-05,0.0065,0.337,0.329,185.971,4,78.255,7,1,rock,233987.0
0.746,0.717,10,-5.788,0,0.127,0.189,0.0,0.0704,0.475,109.753,4,38.40043,11,1,pop,209547.0
0.493,0.977,5,-3.808,0,0.151,7.21e-06,0.00538,0.356,0.322,100.02,4,55.87392,10,0,latin,210987.0
0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,4,33.46,8,1,pop,213520.0
0.564,0.878,7,-6.835,1,0.0499,9.11e-06,0.793,0.671,0.483,127.046,4,50.27437,11,0,r&b,287600.0
0.277,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.117,0.351,95.514,4,23.12976,10,0,rock,267128.0
0.787,0.765,0,-6.331,1,0.0265,0.231,1.79e-05,0.323,0.964,115.979,4,30.21304,10,1,pop,204827.0
0.312,0.404,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,4,54.21894,12,1,rock,239827.0
0.458,0.55,2,-7.092,1,0.0262,0.566,1.39e-05,0.108,0.56,90.56,4,22.42462,10,1,pop,198360.0
0.341,0.659,2,-5.419,1,0.0357,0.442,0.0,0.096,0.269,79.987,4,25.29826,14,1,rock,240240.0
0.168,0.808,7,-4.563,0,0.108,0.0329,0.964,0.331,0.0209,91.269,3,76.55211,28,0,rock,745600.0
0.566,0.919,2,-1.901,0,0.0639,0.0666,0.0,0.34,0.55,146.99,4,30.40491,11,0,r&b,242293.0
0.661,0.796,7,-4.776,1,0.0833,0.0347,0.0,0.396,0.657,87.982,4,25.31054,9,1,pop,210867.0
0.548,0.815,2,-5.218,0,0.0409,0.0175,8.9e-06,0.127,0.212,129.963,4,42.49121,8,1,pop,191733.0
0.422,0.736,5,-4.426,0,0.049,0.203,0.0,0.102,0.303,129.278,4,29.05424,12,1,r&b,260093.00000000003
0.71,0.796,0,-9.427,1,0.0554,0.00875,0.859,0.101,0.523,135.012,4,18.22517,14,0,pop,239964.0
0.62,0.746,11,-6.006,1,0.0552,0.424,0.0,0.0684,0.191,138.454,4,23.56907,11,1,pop,238067.0
0.525,0.481,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.974,4,42.11222,11,1,r&b,289000.0
0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,4,29.40143,10,1,latin,198400.0
0.547,0.683,2,-7.749,1,0.0368,0.0236,0.0,0.093,0.888,94.937,4,48.12128,8,0,pop,163997.0
0.469,0.132,10,-14.001,1,0.0807,0.929,0.0,0.0873,0.36,67.011,3,23.73524,11,1,r&b,281467.0
0.364,0.866,1,-6.798,1,0.139,0.0134,0.00618,0.109,0.963,189.091,3,29.83122,19,0,edm,374773.0
0.689,0.907,9,-5.587,1,0.037,0.0254,0.000732,0.138,0.912,116.968,4,41.28787,10,1,latin,211893.0
0.602,0.328,3,-16.128,1,0.0249,0.842,0.000758,0.208,0.413,108.003,4,43.01027,21,0,r&b,385253.0
0.473,0.59,6,-5.373,1,0.0298,0.359,0.0,0.101,0.334,140.191,4,38.45284,10,1,pop,235307.0
0.715,0.809,9,-5.598,1,0.205,0.0607,0.0,0.352,0.636,76.493,4,29.85259,9,1,r&b,247440.0
0.571,0.281,5,-10.56,1,0.0475,0.74,0.0,0.163,0.294,142.263,4,42.29581,9,0,pop,233667.0
0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.934,4,48.20956,19,0,r&b,371984.0
0.51,0.881,11,-4.384,0,0.0354,0.000591,1.46e-05,0.131,0.278,91.034,4,31.97236,9,0,latin,232093.0
0.481,0.508,2,-7.666,1,0.0248,0.216,0.000175,0.105,0.268,86.013,4,71.34437,7,1,pop,224613.0
0.653,0.786,2,-5.418,1,0.0338,0.0103,2.19e-06,0.201,0.477,120.992,4,33.55326,9,1,pop,226733.0
0.744,0.739,4,-6.272,0,0.307,0.119,0.0,0.106,0.678,79.245,4,28.99861,8,0,rap,185582.0
0.473,0.722,5,-5.176,1,0.0358,0.00507,0.0,0.377,0.549,149.625,4,40.17949,11,0,r&b,256000.0
0.621,0.747,1,-6.552,0,0.0782,0.00227,0.000234,0.0449,0.726,172.31,4,63.6742,8,1,edm,205267.0
0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,4,57.79785,10,1,latin,227840.0
0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,4,40.33202,20,1,r&b,267320.0
0.387,0.268,0,-13.996,1,0.0348,0.995,0.828,0.0942,0.337,113.357,4,28.63663,17,0,r&b,518227.0
0.384,0.735,5,-4.856,0,0.0383,0.703,0.921,0.232,0.276,133.906,4,78.69983,10,0,r&b,256012.99999999997
0.064,0.0794,3,-16.971,1,0.0403,0.432,0.896,0.151,0.0356,63.29,4,57.70217,12,0,rock,218947.0
0.351,0.615,7,-7.621,1,0.0451,0.206,0.0,0.985,0.337,127.798,3,58.57055,10,1,rock,271107.0
0.596,0.921,7,-4.987,1,0.0504,0.0221,0.0,0.303,0.703,104.024,4,29.07478,11,1,latin,210560.0
0.726,0.294,4,-14.451,0,0.0472,0.595,0.717,0.0385,0.185,125.712,4,29.71117,12,0,pop,206733.0
0.598,0.782,4,-6.018,1,0.0305,0.407,6.55e-05,0.558,0.298,118.938,4,21.29442,10,0,pop,205053.0
0.421,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,4,29.22179,11,1,r&b,244667.0
0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.949,4,41.68325,14,1,r&b,259533.00000000003
0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,4,48.88537,12,1,r&b,258333.00000000003
0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088,4,30.63383,6,1,latin,197640.0
0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,4,43.87393,15,0,r&b,452747.0
0.792,0.637,4,-9.826,0,0.0743,0.000443,0.448,0.0698,0.366,127.989,4,57.90045,18,0,r&b,481350.0
0.343,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,4,14.98454,3,0,rock,82187.0
0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,4,30.48537,14,1,r&b,284373.0
0.471,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.996,4,18.99449,12,0,latin,217253.0
0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.997,4,31.99187,10,1,pop,230493.0
0.682,0.579,7,-7.924,1,0.0712,0.196,0.0,0.136,0.784,100.186,4,43.76046,8,0,pop,222589.0
0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,4,30.64844,10,1,pop,227240.0
0.59,0.836,7,-2.805,1,0.0385,0.00334,0.0,0.0358,0.939,138.84,4,45.10531,6,0,pop,143000.0
0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.118,152.116,4,33.25761,11,1,rock,201907.0
0.577,0.936,5,-4.179,1,0.0915,0.0839,0.0,0.344,0.572,153.985,4,25.54091,12,0,latin,211547.0
0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,4,29.82293,11,1,pop,238560.0
0.441,0.0712,2,-21.625,1,0.0456,0.995,0.934,0.0917,0.157,94.35,4,58.47325,7,0,pop,185533.0
0.662,0.854,1,-5.518,1,0.0434,0.133,0.0,0.333,0.915,121.961,4,40.45327,11,0,r&b,245947.0
0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,4,58.45602,9,1,r&b,290360.0
0.606,0.959,7,-3.412,1,0.0522,0.0714,0.0,0.236,0.734,116.014,4,59.85298,8,1,latin,193293.0
0.55,0.61,2,-6.358,1,0.0388,0.0456,0.0,0.11,0.357,168.186,4,24.3249,11,1,pop,201867.0
0.72,0.548,4,-4.805,0,0.0291,0.00269,0.000118,0.0511,0.709,99.004,4,28.30516,8,1,pop,211693.0
0.858,0.607,1,-4.199,1,0.118,0.0169,3.97e-05,0.0777,0.821,119.986,3,66.31259,9,1,pop,188293.0
0.565,0.562,0,-7.43,1,0.0339,0.263,0.0,0.0994,0.652,75.035,4,25.98469,9,1,pop,229093.0
0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,4,41.42314,10,1,edm,256600.00000000003
0.65,0.72,11,-8.803,1,0.161,0.0238,0.14,0.367,0.738,154.664,4,59.91442,4,0,pop,170213.0
0.173,0.997,4,-3.692,1,0.195,1.03e-05,0.631,0.324,0.0329,121.013,4,28.09894,6,0,rock,96013.0
0.359,0.979,2,-6.998,1,0.196,0.0105,0.0,0.0763,0.256,172.611,4,20.91098,10,0,rock,187907.0
0.209,0.923,7,-3.286,1,0.0598,5.66e-05,0.0505,0.326,0.42,93.347,4,105.9995,5,0,rock,170813.0
0.458,0.445,9,-8.391,0,0.361,0.64,0.0,0.118,0.447,82.82,5,33.16176,7,1,rap,220053.0
0.71,0.787,7,-7.962,0,0.0365,0.00649,0.815,0.0609,0.422,128.05,4,31.40298,11,0,r&b,288750.0
0.636,0.993,5,-5.203,0,0.0508,0.00878,0.268,0.26,0.478,141.97,4,56.28675,11,0,latin,223947.0
0.628,0.541,1,-5.568,1,0.0246,0.292,0.0,0.0933,0.443,102.513,4,49.69981,7,0,pop,157960.0
0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.968,4,42.55397,9,1,pop,235067.0
0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,4,20.87996,7,1,latin,213800.0
0.0775,0.00796,1,-10.458,1,0.0413,0.841,0.923,0.102,0.029,72.592,4,12.57441,57,0,rock,1011760.0
0.106,0.0424,0,-19.749,0,0.0365,0.887,0.899,0.134,0.0377,63.533,4,23.27108,12,0,rock,256240.0
0.588,0.555,1,-9.401,1,0.0334,0.447,0.0,0.0806,0.445,151.991,4,25.8805,13,1,r&b,279573.0
0.473,0.464,10,-8.112,0,0.0287,0.00267,0.000663,0.107,0.25,128.955,3,47.53233,12,0,r&b,272400.0
0.657,0.853,1,-4.757,0,0.252,0.17,0.0,0.0956,0.746,173.066,4,24.82765,14,1,rap,287133.0
0.872,0.86,0,-3.488,0,0.131,0.158,1.41e-05,0.833,0.855,104.956,4,54.45268,9,1,latin,233587.0
0.661,0.847,10,-6.948,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,4,22.45476,8,1,pop,207120.0
0.308,0.935,2,-7.309,0,0.124,0.00254,0.203,0.303,0.171,89.547,4,71.55419,4,0,rock,115853.0
0.585,0.577,5,-5.752,1,0.0228,0.0587,0.00369,0.102,0.335,80.02,4,22.54452,11,1,r&b,282720.0
0.191,0.996,2,-4.596,1,0.159,5.12e-05,0.132,0.315,0.0752,110.512,4,29.58095,12,0,rock,318360.0
0.598,0.412,11,-9.838,1,0.14,0.815,0.000352,0.114,0.431,146.039,4,28.83319,18,1,r&b,339847.0
0.569,0.463,1,-12.441,1,0.0284,0.237,0.733,0.148,0.218,109.039,4,23.13921,13,0,pop,190000.0
0.803,0.821,1,-4.342,0,0.252,0.0449,0.0,0.115,0.763,100.031,4,49.96968,7,0,rap,229973.0
0.447,0.874,8,-5.82,1,0.0457,6.52e-05,0.00078,0.0573,0.64,87.474,4,33.77383,11,0,latin,235000.0
0.515,0.908,8,-4.632,1,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,4,36.74395,13,1,r&b,252600.0
0.729,0.746,9,-4.84,0,0.0599,0.0464,0.114,0.105,0.562,94.977,4,34.23814,16,0,r&b,391361.0
0.611,0.697,2,-8.618,1,0.133,0.0193,0.0,0.332,0.476,122.752,4,58.19603,14,1,r&b,320357.0
0.771,0.903,0,-5.688,1,0.0551,0.00438,0.481,0.333,0.879,123.014,4,32.53368,12,0,r&b,394880.0
0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,4,44.45434,8,1,r&b,243160.0
0.499,0.883,4,-4.742,1,0.0451,0.0689,0.0,0.163,0.533,138.801,4,77.12452,5,1,latin,214200.0
0.645,0.984,0,-5.013,1,0.315,0.017,0.946,0.34,0.0466,132.894,4,16.59496,11,0,rap,249013.0
0.522,0.328,1,-13.715,1,0.0394,0.944,0.0885,0.106,0.727,155.673,5,166.1522,9,0,r&b,382200.0
0.444,0.0162,5,-27.773,1,0.0452,0.993,0.922,0.0873,0.079,100.364,4,29.45978,15,0,r&b,284213.0
0.664,0.761,4,-5.809,0,0.07,0.015,0.0,0.618,0.345,129.939,4,24.17369,19,0,r&b,443080.0
0.718,0.671,11,-7.517,0,0.113,0.377,0.0,0.114,0.552,170.012,4,38.89064,13,1,edm,240133.0
0.279,0.901,1,-7.052,1,0.0557,0.000529,0.118,0.37,0.268,119.95,4,47.32667,13,0,rock,409827.0
0.455,0.988,3,-3.075,0,0.122,0.0128,0.983,0.359,0.484,98.85,4,9.53802,3,0,latin,31560.0
0.311,0.709,4,-7.235,1,0.0331,0.000104,0.215,0.156,0.343,108.284,4,29.34654,12,0,rock,256627.0
0.592,0.418,2,-10.741,1,0.0585,0.679,0.00246,0.16,0.643,90.732,4,30.69739,8,0,pop,139627.0
0.298,0.943,10,-4.019,0,0.18,8.53e-05,0.00382,0.52,0.199,102.7,4,0.0,2,0,rock,34560.0
0.858,0.947,0,-3.557,1,0.235,0.125,0.0,0.0367,0.967,151.037,4,21.8709,8,1,rap,203133.0
0.233,0.609,7,-5.852,1,0.0438,0.000849,0.826,0.0874,0.28,96.808,4,29.07217,11,0,rock,209347.0
0.712,0.496,10,-13.591,0,0.0602,0.0338,0.801,0.108,0.15,137.002,4,28.90139,10,0,r&b,312000.0
0.19,0.0237,5,-29.269,0,0.0397,0.991,0.0387,0.104,0.14,103.604,3,20.01717,10,0,rock,182400.0
0.65,0.813,0,-4.673,1,0.112,0.228,0.0,0.18,0.576,136.796,4,48.46709,10,1,r&b,260867.00000000003
0.377,0.453,5,-14.669,0,0.0636,0.459,0.00268,0.0921,0.607,126.93,3,35.14482,15,0,r&b,341333.0
0.402,0.92,2,-2.944,1,0.0408,0.000174,0.0,0.0807,0.297,139.793,4,150.0781,6,0,r&b,243973.0
0.137,0.853,11,-8.79,0,0.0972,0.000129,0.00229,0.0473,0.252,187.209,4,106.2552,8,0,rock,274493.0
0.717,0.597,2,-7.83,1,0.189,0.292,0.0,0.128,0.566,95.018,4,30.24518,12,1,pop,234853.0
0.347,0.882,0,-4.444,1,0.0799,0.000163,0.142,0.296,0.455,178.321,4,25.29914,8,0,rock,189533.0
0.252,0.111,0,-15.312,0,0.0368,0.981,0.516,0.116,0.23,95.929,4,57.71955,7,0,rock,137520.0
0.623,0.828,6,-6.265,0,0.212,0.509,7.77e-06,0.0946,0.592,97.926,4,40.53372,8,1,r&b,248320.0
0.713,0.907,6,-4.132,0,0.0336,0.000468,0.00524,0.0846,0.739,135.055,4,28.53523,9,0,latin,216600.0
0.534,0.708,11,-5.732,1,0.0402,0.089,0.0,0.192,0.488,130.639,4,45.46272,12,1,r&b,286480.0
0.631,0.863,8,-3.963,0,0.0297,0.161,5.85e-05,0.0846,0.497,125.994,4,77.17961,13,0,r&b,319653.0
0.308,0.934,7,-6.939,1,0.0824,2.35e-06,3.69e-06,0.0896,0.419,170.009,4,21.19217,9,0,rock,241693.0
0.525,0.933,9,-4.673,1,0.356,0.159,0.000241,0.311,0.457,122.631,5,25.31908,9,1,rap,223720.0
0.486,0.71,7,-6.287,1,0.363,0.0445,0.0,0.35,0.472,170.86,4,20.01532,15,1,rap,316267.0
0.494,0.861,5,-5.236,1,0.0365,0.257,0.0,0.103,0.668,172.052,4,56.41995,7,1,edm,181613.0
0.194,0.179,9,-16.836,0,0.0413,0.988,0.86,0.0819,0.179,177.667,3,30.35531,7,0,rock,158667.0
0.293,0.877,9,-6.469,1,0.0707,0.0813,0.0437,0.0917,0.584,69.219,4,57.28589,14,0,rock,312893.0
0.698,0.618,0,-5.83,1,0.0282,0.0482,0.0,0.116,0.37,89.981,4,26.48417,9,1,r&b,240640.0
0.648,0.776,11,-5.698,0,0.252,0.00362,0.0,0.179,0.446,91.218,4,35.9768,12,0,rap,246960.0
0.55,0.373,4,-6.31,1,0.0286,0.717,0.0,0.096,0.101,101.84,4,73.7704,11,1,r&b,265613.0
0.586,0.927,11,-4.077,0,0.194,0.00924,1.85e-06,0.344,0.528,73.023,4,27.20698,16,1,r&b,316133.0
0.848,0.854,6,-3.305,0,0.0845,0.47,2.29e-06,0.106,0.876,120.024,4,33.02932,15,1,r&b,298773.0
0.336,0.449,0,-13.267,1,0.0367,0.9,7e-05,0.109,0.547,139.13,4,46.31308,16,0,rock,379867.0
0.367,0.833,8,-8.8,1,0.0322,0.197,0.803,0.136,0.491,93.08,4,16.78397,15,0,r&b,261399.99999999997
0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,4,25.16272,11,1,latin,238000.0
0.727,0.83,7,-8.699,1,0.125,0.0286,0.000368,0.145,0.59,97.602,4,47.60881,8,1,pop,229800.0
0.374,0.344,6,-9.012,0,0.0341,0.459,0.397,0.0915,0.0386,152.11,4,26.48821,15,0,r&b,318880.0
0.613,0.778,10,-3.933,0,0.0689,0.0985,0.0,0.356,0.626,129.483,4,91.30839,8,1,r&b,252093.0
0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,4,29.23319,6,0,pop,150293.0
0.908,0.763,1,-5.739,1,0.28,0.0395,0.0,0.0646,0.593,97.106,4,23.51463,11,1,rap,273467.0
0.295,0.967,1,-6.328,0,0.169,7.73e-05,0.784,0.217,0.254,149.99,1,28.35758,9,0,rock,200747.0
0.646,0.6,9,-6.569,1,0.458,0.231,0.0,0.0794,0.811,192.082,4,26.98133,14,1,rap,223973.0
0.419,0.988,3,-2.241,0,0.111,0.000304,0.589,0.289,0.378,97.036,4,25.31017,10,0,latin,189133.0
0.661,0.67,11,-7.645,0,0.258,0.0873,2.01e-06,0.0794,0.661,148.02,4,67.8362,14,1,rap,352280.0
0.537,0.342,4,-9.785,1,0.0338,0.833,0.6,0.0856,0.156,128.331,3,40.58623,10,1,r&b,255387.0
0.632,0.484,9,-11.772,1,0.104,0.156,0.0,0.153,0.873,80.687,4,46.8153,9,0,pop,174707.0
0.664,0.862,6,-5.403,1,0.0679,0.378,4.19e-06,0.0824,0.782,91.91,4,33.83419,8,1,latin,227347.0
0.643,0.843,3,-5.533,1,0.0384,0.172,0.0247,0.122,0.666,105.744,3,50.25079,9,1,r&b,252800.0
0.676,0.738,6,-6.693,1,0.0262,0.0497,2.7e-06,0.0784,0.697,101.944,4,21.42116,12,1,pop,216693.0
0.509,0.59,9,-10.096,1,0.0891,0.00413,0.0202,0.0633,0.624,159.945,4,52.04269,10,0,pop,235173.0
0.866,0.749,2,-3.977,1,0.253,0.15,0.0,0.0614,0.891,92.074,4,20.80496,10,1,rap,250747.0
0.435,0.806,7,-5.222,1,0.0819,0.395,0.0,0.0842,0.596,93.162,4,24.19913,9,0,r&b,258053.0
0.436,0.746,2,-5.301,1,0.0843,0.0768,2.49e-06,0.126,0.301,132.06,4,46.90335,18,0,r&b,471267.0
0.487,0.759,11,-4.849,1,0.0405,0.0273,0.0,0.165,0.227,80.958,4,37.25538,10,1,pop,208360.0
0.585,0.123,3,-13.695,1,0.0711,0.99,0.0104,0.143,0.969,115.145,4,35.1975,6,0,pop,102907.0
0.585,0.927,5,-5.253,1,0.04,0.00432,0.0,0.178,0.672,142.043,4,47.06438,6,1,latin,226253.0
0.821,0.727,6,-6.262,1,0.105,0.134,2.4e-06,0.0532,0.971,130.0,4,67.4764,11,1,r&b,273020.0
0.598,0.808,10,-5.209,1,0.0388,0.00304,0.0,0.147,0.288,128.025,4,34.01039,11,1,pop,232240.0
0.752,0.921,5,-4.321,0,0.0696,0.0182,0.0,0.256,0.634,115.033,4,51.40239,13,1,latin,236693.0
0.128,0.045,11,-17.723,0,0.0385,0.942,0.894,0.115,0.0395,85.907,4,72.51274,34,0,rock,687067.0
0.244,0.67,6,-5.924,1,0.0286,0.000685,0.00274,0.109,0.502,170.654,3,59.1293,13,0,rock,331467.0
0.603,0.253,5,-14.336,0,0.0282,0.67,0.0854,0.116,0.0999,76.912,4,22.75065,17,0,r&b,347653.0
0.676,0.73,9,-10.381,1,0.0296,0.393,0.125,0.136,0.664,104.001,4,42.74351,8,0,pop,216533.0
0.454,0.911,2,-3.857,1,0.0794,0.0184,0.0,0.128,0.445,93.218,4,58.33992,6,0,latin,186760.0
0.075,0.858,9,-5.01,0,0.0651,2.71e-06,0.79,0.0395,0.31,61.106,4,37.73448,20,0,rock,462400.0
0.658,0.742,1,-3.511,1,0.0319,0.39,0.000331,0.125,0.698,123.316,4,42.51601,8,1,pop,227027.0
0.623,0.898,4,-6.604,0,0.0309,0.000192,0.303,0.138,0.786,130.993,4,30.7697,12,1,latin,226227.0
0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,4,48.33546,7,1,pop,187053.0
0.489,0.763,7,-6.077,1,0.24,0.0158,0.0,0.42,0.362,173.822,4,41.44659,11,1,rap,198787.0
0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,4,22.99943,15,1,r&b,302720.0
0.723,0.65,2,-7.128,0,0.0419,0.0115,0.00774,0.077,0.966,124.471,4,62.76144,10,0,r&b,297187.0
0.524,0.894,2,-9.573,1,0.0328,0.000364,0.846,0.15,0.212,140.003,4,30.59056,15,0,r&b,403573.0
0.626,0.866,11,-4.065,0,0.0408,0.00316,0.000364,0.171,0.545,132.031,4,29.76757,13,1,r&b,248240.0
0.431,0.842,7,-4.072,1,0.357,0.00876,0.0,0.309,0.61,83.66,4,61.26174,11,1,rap,225653.0
0.786,0.853,9,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,4,18.48264,19,1,r&b,432147.0
0.622,0.882,9,-5.59,0,0.119,0.0912,0.0,0.216,0.762,77.506,4,27.35507,11,1,r&b,284187.0
0.393,0.0523,9,-22.591,0,0.0452,0.967,0.255,0.0768,0.0853,140.557,3,63.46445,21,0,r&b,439240.0
0.404,0.958,9,-4.405,0,0.0683,0.00139,0.0,0.0451,0.328,90.099,4,103.0144,7,0,r&b,257760.0
0.665,0.646,4,-7.949,0,0.0394,0.00491,0.000204,0.199,0.962,133.724,4,22.82569,12,0,pop,213800.0
0.487,0.938,4,-5.466,1,0.0533,0.0721,2.63e-05,0.522,0.733,157.795,4,26.73053,12,1,r&b,274200.0
